SiteName,Easting,Northing
BT25/5004,1611240.0,5299780.0
BW24/0125,1567243.0,5202860.0
BW24/0126,1567239.0,5202762.0
BY21/0084,1498011.0,5133097.0
H37/0007,1377024.0,5118787.0
H39/0010,1361545.0,5070439.0
H39/0177,1365649.0,5065840.0
I38/0036,1386297.0,5116721.0
J40/0771,1447591.0,5044210.0
K38/0385,1486722.0,5118637.0
L35/0182,1521015.0,5195281.0
L35/0197,1522814.0,5190982.0
L35/0576,1518036.0,5202544.0
L35/1043,1538889.0,5201967.0
L35/1045,1537908.0,5202588.0
L37/0925,1505635.0,5136884.0
M35/0081,1542908.0,5204779.0
M35/1159,1572768.0,5193643.0
M35/11693,1574618.0,5203280.0
M35/11910,1571509.0,5197202.0
M35/11996,1553954.0,5182347.0
M35/11997,1554073.0,5182299.0
M35/11998,1554105.0,5182176.0
M35/18018,1574655.0,5202772.0
M35/1826,1567300.0,5202779.0
M35/18383,1542835.0,5198429.0
M35/1869,1575050.0,5180162.0
M35/2653,1567500.0,5202579.0
M35/4084,1567270.0,5202699.0
M35/4098,1575157.0,5194072.0
M35/5885,1573598.0,5186585.0
M35/6023,1575367.0,5194632.0
M35/6490,1575330.0,5194240.0
M35/6491,1575717.0,5194723.0
M35/6492,1575777.0,5194463.0
M35/6493,1575278.0,5194733.0
M35/6494,1574398.0,5194583.0
M35/6496,1575597.0,5194833.0
M35/6744,1569499.0,5201480.0
M35/8211,1572319.0,5197051.0
M35/8212,1571798.0,5196502.0
M35/8601,1539940.0,5186074.0
M35/9317,1555081.0,5183049.0
M35/9318,1555268.0,5182661.0
